Locality,type of property,price,area,building state,rooms,facades,kitchen type,garden,fireplace,swimming pool
1861,House,359000€,120 m²,Not specified,3,3,Not specified,1,0,0
1860,House,359000€,120 m²,Not specified,3,3,Not specified,1,0,0
3270,House,349000€,215 m²,Good,3,4,Installed,1,0,0
2500,House,309000€,130 m²,Good,3,2,Semi equipped,1,0,0
1950,House,648000€,130 m²,Good,3,3,Not specified,1,0,0
Not specified,House,139000€,200 m²,To renovate,3,2,Semi equipped,1,0,0
3990,House,265000€,185 m²,Not specified,3,4,Installed,1,0,0
1750,House,439000€,394 m²,To be done up,4,4,Installed,1,0,0
1740,House,279000€,155 m²,Good,3,3,Installed,1,0,0
1950,House,750000€,280 m²,As new,5,3,Hyper equipped,1,0,0
7080,House,230000€,163 m²,As new,3,3,Hyper equipped,1,0,0
4280,House,299000€,140 m²,To be done up,4,3,Installed,1,0,0
4970,House,159000€,90 m²,Good,2,3,Semi equipped,1,0,0
6700,House,350000€,270 m²,Good,5,2,Installed,1,0,0
Not specified,House,325000€,165 m²,Good,3,3,Not specified,1,0,0
6150,House,199000€,201 m²,Good,3,2,Installed,1,0,0
9300,House,339000€,350 m²,Not specified,3,2,Installed,1,1,0
Not specified,House,275000€,320 m²,Not specified,4,4,Not specified,1,0,0
6238,House,190000€,129 m²,As new,2,2,Installed,1,0,0
6230,House,190000€,129 m²,Good,2,2,Installed,1,0,0
Not specified,House,195000€,150 m²,Good,3,2,Installed,1,0,0
4683,House,105000€,140 m²,To be done up,2,2,Not specified,1,0,0
7110,House,49000€,57 m²,Good,2,2,Not specified,1,0,0
9000,House,230000€,117 m²,To renovate,4,2,Semi equipped,1,0,0
3700,House,150000€,105 m²,Just renovated,3,2,Not specified,1,0,0
3700,House,149000€,125 m²,Good,3,2,Not specified,1,0,0
3620,House,325000€,191 m²,Good,2,4,USA hyper equipped,1,0,0
1500,House,185000€,Not specified,To renovate,3,2,USA semi equipped,1,0,0
Not specified,House,99990€,90 m²,To renovate,2,3,Not specified,1,0,0
Not specified,House,179900€,274 m²,To renovate,4,2,Not installed,1,0,0
3440,House,285000€,195 m²,Good,3,4,Installed,1,0,0
3400,House,295000€,150 m²,As new,3,3,Hyper equipped,1,0,0
1200,House,535000€,160 m²,Good,3,2,Installed,1,0,0
8610,House,245000€,Not specified,Good,3,4,USA installed,1,0,0
1500,House,300000€,Not specified,Good,3,2,Hyper equipped,1,0,0
3070,House,398000€,160 m²,As new,3,2,Hyper equipped,1,0,0
8830,House,249000€,Not specified,Good,3,4,Not specified,1,0,0
1702,House,375000€,227 m²,Good,3,3,Installed,1,0,0
5310,House,345000€,165 m²,As new,5,4,Hyper equipped,1,0,0
4171,House,135000€,150 m²,To be done up,4,3,Semi equipped,1,0,0
Not specified,House,249900€,382 m²,Not specified,7,4,Not specified,1,0,0
4032,House,119000€,70 m²,Good,3,2,Installed,1,0,0
Not specified,House,475000€,130 m²,As new,3,3,Not installed,1,0,0
9470,House,270000€,Not specified,Good,3,3,USA hyper equipped,1,0,0
1200,House,1200000€,245 m²,Good,6,2,Hyper equipped,1,0,0
Not specified,House,635000€,308 m²,As new,4,4,Hyper equipped,1,0,0
2018,House,685000€,265 m²,As new,4,2,Hyper equipped,1,0,0
4624,House,255000€,97 m²,Good,2,3,Installed,1,0,0
4400,House,119500€,116 m²,To be done up,3,4,Not specified,1,0,0
Not specified,House,75000€,63 m²,To renovate,1,2,Not installed,1,0,0
2040,House,365000€,210 m²,To renovate,2,4,Not specified,1,0,0
Not specified,House,199000€,150 m²,Good,4,2,Semi equipped,1,0,0
Not specified,House,1980000€,485 m²,Not specified,7,3,Hyper equipped,1,0,0
1357,House,275000€,200 m²,Good,5,3,Not specified,1,0,0
3360,House,425000€,180 m²,Good,3,3,Not specified,1,0,0
3740,House,259000€,200 m²,Good,4,3,Installed,1,0,0
9420,House,279000€,145 m²,Good,2,3,Installed,1,1,0
4051,House,169000€,100 m²,To be done up,2,2,Installed,1,0,0
9000,House,625000€,430 m²,Good,4,2,Installed,1,0,0
Not specified,House,429000€,154 m²,Good,2,4,Installed,1,0,0
8490,House,249000€,Not specified,To renovate,3,3,Semi equipped,1,0,0
9991,House,388000€,195 m²,To be done up,4,4,Not specified,1,0,0
9700,House,220000€,170 m²,To renovate,4,2,Not specified,1,0,0
