Immoweb code,Locality,Type of Property,Subtype of property,Price,Type of sale,No_of_rooms,area,Kitchen type,Furnished ,Fireplace ,Terrace,Garden,Facades,Swimming pool,Building condition
8954833,1861,House,House,"€359,000",for sale,3,120,0,0,0,0,0,3,0,0
8954832,1860,House,House,"€359,000",for sale,3,120,0,0,0,0,0,3,0,0
8954827,3270,House,House,"€349,000",for sale,3,215,Installed,0,0,0,1640,4,0,Good
8954826,2500,House,House,"€309,000",for sale,3,130,Semi equipped,0,0,0,0,2,0,Good
8954824,1950,House,House,"€648,000",for sale,3,130,0,0,0,0,0,3,0,Good
8954817,9310,House,House,"€139,000",for sale,3,200,Semi equipped,0,0,0,0,0,0,To renovate
8927757,3990,House,House,"€265,000",for sale,3,185,Installed,0,0,0,0,4,0,0
8917171,1750,House,House,"€439,000",for sale,4,394,Installed,0,0,0,0,0,0,To be done up
8813273,1740,House,House,"€279,000",for sale,3,155,Installed,0,0,0,0,0,0,Good
8954805,1950,House,House,"€750,000",for sale,5,280,Hyper equipped,0,0,0,0,3,0,As new
8954802,7080,House,House,"€230,000",for sale,3,163,Hyper equipped,0,0,0,0,3,0,As new
8954800,4280,House,House,"€299,000",for sale,4,140,Installed,0,0,0,0,3,0,To be done up
8926071,4970,House,House,"€159,000",for sale,2,90,Semi equipped,0,0,0,0,0,0,Good
8954796,6700,House,House,"€350,000",for sale,5,270,Installed,0,0,0,0,2,0,Good
8954791,3071,House,House,"€325,000",for sale,3,165,0,0,0,0,0,0,0,Good
8921060,6150,House,House,"€199,000",for sale,3,201,Installed,0,0,0,0,0,0,Good
8954757,9300,House,House,"€339,000",for sale,3,350,Installed,0,0,0,160,2,0,0
8954754,6001,House,House,"€275,000",for sale,4,320,0,0,0,0,0,4,0,0
8954753,6238,House,House,"€190,000",for sale,2,129,Installed,0,0,0,200,0,0,As new
8907453,6230,House,House,"€190,000",for sale,2,129,Installed,0,0,0,200,0,0,Good
8848561,8510,House,House,"€195,000",for sale,3,150,Installed,0,0,0,0,2,0,Good
8780318,4683,House,House,"€105,000",for sale,2,140,0,0,0,0,0,0,0,To be done up
8756339,7110,House,House,"€49,000",for sale,2,57,0,0,0,0,0,0,0,Good
8954746,9000,House,House,"€230,000",for sale,4,117,Semi equipped,0,0,0,0,0,0,To renovate
8954742,3700,House,House,"€150,000",for sale,3,105,0,0,0,0,0,0,0,Just renovated
8954741,3700,House,House,"€149,000",for sale,3,125,0,0,0,0,0,0,0,Good
8954740,3620,House,House,"€325,000",for sale,2,191,USA hyper equipped,0,0,0,210,4,0,Good
8954729,1500,House,House,"€185,000",for sale,3,0,USA semi equipped,0,0,0,0,0,0,To renovate
8954716,4690,House,House,"€99,990",for sale,2,90,0,0,0,0,0,0,0,To renovate
8954715,4040,House,House,"€179,900",for sale,4,274,Not installed,0,0,0,0,0,0,To renovate
8954713,3440,House,House,"€285,000",for sale,3,195,Installed,0,0,0,0,4,0,Good
8954712,3400,House,House,"€295,000",for sale,3,150,Hyper equipped,0,0,0,0,3,0,As new
8954702,1200,House,House,"€535,000",for sale,3,160,Installed,0,0,0,170,2,0,Good
8954695,8610,House,House,"€245,000",for sale,3,0,USA installed,0,0,0,0,0,0,Good
8839060,1500,House,House,"€300,000",for sale,3,0,Hyper equipped,0,0,0,0,2,0,Good
8954691,3070,House,House,"€398,000",for sale,3,160,Hyper equipped,0,0,0,200,2,0,As new
8813226,8830,House,House,"€249,000",for sale,3,0,0,0,0,0,0,0,0,Good
8954677,1702,House,House,"€375,000",for sale,3,227,Installed,0,0,0,0,3,0,Good
8954666,5310,House,House,"€345,000",for sale,5,165,Hyper equipped,0,0,0,0,4,0,As new
8954663,4171,House,House,"€135,000",for sale,4,150,Semi equipped,0,0,0,16,0,0,To be done up
8954660,5555,House,House,"€249,900",for sale,7,382,0,0,0,0,0,0,0,0
8954657,4032,House,House,"€119,000",for sale,3,70,Installed,0,0,0,0,0,0,Good
8954654,1410,House,House,"€475,000",for sale,3,130,Not installed,0,0,0,0,3,0,As new
8954653,9470,House,House,"€270,000",for sale,3,0,Installed,0,0,0,0,3,0,Good
8954648,1200,House,House,"€1,200,000",for sale,6,245,Hyper equipped,0,0,0,0,2,0,Good
8954645,9160,House,House,"€635,000",for sale,4,308,Hyper equipped,0,0,0,0,4,0,As new
8954597,2018,House,House,"€685,000",for sale,4,265,Hyper equipped,0,0,0,50,0,0,As new
8954596,4624,House,House,"€255,000",for sale,2,97,Installed,0,0,0,0,3,0,Good
8954578,4400,House,House,"€119,500",for sale,3,116,0,0,0,0,250,4,0,To be done up
8954571,4920,House,House,"€75,000",for sale,1,63,Not installed,0,0,0,0,2,0,To renovate
8954566,2040,House,House,"€365,000",for sale,2,210,0,0,0,0,Yes,0,0,To renovate
8954565,6041,House,House,"€199,000",for sale,4,150,Semi equipped,0,0,0,0,0,0,Good
8954561,1040,House,House,"€1,980,000",for sale,7,485,Hyper equipped,0,0,0,365,3,0,0
8954553,1357,House,House,"€275,000",for sale,5,200,0,0,0,0,0,3,0,Good
8954543,3360,House,House,"€425,000",for sale,3,180,0,0,0,0,0,0,0,Good
8954539,3740,House,House,"€259,000",for sale,4,200,Installed,0,0,0,0,3,0,Good
8954538,9420,House,House,"€279,000",for sale,2,145,Installed,0,0,0,135,3,0,Good
8954535,4051,House,House,"€169,000",for sale,2,100,Installed,0,0,0,115,0,0,To be done up
8954532,9000,House,House,"€625,000",for sale,4,430,Installed,0,0,0,0,0,0,Good
8954527,3150,House,House,"€429,000",for sale,2,154,Installed,0,0,0,0,4,0,Good
8954522,2550,House,House,"€298,000",for sale,3,206,Semi equipped,0,0,0,0,0,0,To be done up
8954520,8490,House,House,"€249,000",for sale,3,0,Semi equipped,0,0,0,0,3,0,To renovate
8954488,9991,House,House,"€388,000",for sale,4,195,0,0,0,0,0,4,0,To be done up
8954486,9700,House,House,"€220,000",for sale,4,170,0,0,0,0,0,0,0,To renovate
8954483,8630,House,House,"€305,000",for sale,3,195,Hyper equipped,0,0,0,0,0,0,Good
8909523,8550,House,House,"€299,000",for sale,4,154,0,0,0,Yes,0,0,0,To be done up
8954480,9120,House,House,"€599,000",for sale,2,330,0,0,0,0,0,0,0,Good
8954475,3321,House,House,"€130,000",for sale,2,150,0,0,0,0,0,0,0,To renovate
8954474,3350,House,House,"€240,000",for sale,2,117,0,0,0,0,0,4,0,Good
8883229,8790,House,House,"€230,000",for sale,3,120,0,0,0,0,0,3,0,Good
8954463,9700,House,House,"€200,000",for sale,2,168,0,0,0,0,Yes,0,0,0
8738100,1601,House,House,"€199,000",for sale,3,0,Installed,0,0,0,0,0,0,0
8954461,4170,House,House,"€195,000",for sale,3,180,0,0,0,0,0,2,0,Good
8882056,8710,House,House,"€200,000",for sale,4,0,0,0,0,0,Yes,0,0,0
8954445,3470,House,House,"€60,000",for sale,2,0,0,0,0,0,0,0,0,To renovate
8954440,9280,House,House,"€189,000",for sale,1,150,0,0,0,0,0,0,0,0
8954430,8800,House,House,"€275,000",for sale,3,170,0,0,0,0,Yes,0,0,0
8954427,2547,House,House,"€364,900",for sale,5,170,Installed,0,0,0,170,3,0,To renovate
8954425,9820,House,House,"€398,000",for sale,3,123,0,0,0,0,Yes,0,0,0
8954410,9200,House,House,"€415,000",for sale,4,160,Hyper equipped,0,0,0,0,0,0,0
8954408,9200,House,House,"€339,000",for sale,3,150,0,0,0,0,0,0,0,0
8954407,9280,House,House,"€270,000",for sale,3,190,Hyper equipped,0,0,0,Yes,0,0,As new
8954395,8810,House,House,"€225,000",for sale,4,0,0,0,0,0,Yes,0,0,To renovate
8954389,8810,House,House,"€388,000",for sale,4,188,Installed,0,0,0,300,3,0,As new
8954387,7711,House,House,"€399,000",for sale,4,0,Installed,0,0,0,Yes,0,0,0
8954385,7712,House,House,"€265,000",for sale,3,0,Installed,0,0,0,60,0,0,0
8954382,9470,House,House,"€235,000",for sale,2,0,0,0,0,0,0,0,0,0
